Rīgas pilsēta,Rīgas pilsēta,A,"Rīgas pašvaldības Kultūras iestāžu apvienības Koncertorganizācijas ,,Ave Sol” Tautas deju ansamblis „Teiksma”",Jānis  Ērglis,"64,8",Augstākā pakāpe,"49,8",15
Burtnieku novads,Valmieras apriņķis,A,"Burtnieku novada Valmieras pagasta kultūras nama Jauniešu deju kolektīvs ""Sadancis""",Ieva Adāviča,"64,2",Augstākā pakāpe,"49,2",15
Rīgas pilsēta,Rīgas pilsēta,A,Rīgas kultūras un tautas mākslas centra „Mazā ģilde” deju ansamblis “Daiļrade”,Iveta Pētersone-Lazadāne,"64,2",Augstākā pakāpe,"49,2",15
Rīgas pilsēta,Rīgas pilsēta,A,Latvijas Universitātes biedrības „Juventus” Tautas deju ansamblis „Dancis”,Rolands Juraševskis,"64,0",Augstākā pakāpe,"49,0",15
Jelgavas pilsēta,Jelgavas pilsēta,A,"Jelgavas pilsētas pašvaldības iestādes ""Kultūra"" Tautas deju ansamblis ""Lielupe""",Elita Simsone,"63,8",Augstākā pakāpe,"48,8",15
Rīgas pilsēta,Rīgas pilsēta,A,VEF Kultūras pils Tautas deju ansamblis „Gatve”,Gunta Raipala,"63,7",Augstākā pakāpe,"48,7",15
Rīgas pilsēta,Rīgas pilsēta,A,Rīgas kultūras un tautas mākslas centra „Mazā Ģilde” Tautas deju ansamblis „Līgo”,Jānis Purviņš,"63,7",Augstākā pakāpe,"48,7",15
Jelgavas pilsēta,Jelgavas pilsēta,A,"Latvijas Lauksaimniecības universitātes Tautas deju ansamblis ""Kalve""",Gunta Skuja,"63,2",Augstākā pakāpe,"48,2",15
Rīgas pilsēta,Rīgas pilsēta,A,Rīgas Tehniskās universitātes Tautas deju ansamblis “Vektors”,Dagmāra Bārbale,"62,8",Augstākā pakāpe,"47,8",15
Rīgas pilsēta,Rīgas pilsēta,A,Rīgas Stradiņa universitātes Tautas deju ansamblis „Ačkups”,Elita Treilone,"62,7",Augstākā pakāpe,"47,7",15
Rīgas pilsēta,Rīgas pilsēta,A,VEF Kultūras pils Tautas deju ansamblis „Rotaļa”,Gints Baumanis,"62,7",Augstākā pakāpe,"47,7",15
Jelgavas pilsēta,Jelgavas pilsēta,A,"Jelgavas pilsētas pašvaldības iestādes ""Kultūra"" Tautas deju ansamblis ""Diždancis""",Ieva Karele,"62,3",Augstākā pakāpe,"47,3",15
Lielvārdes novads,Ogres apriņķis,A,Lielvārde novada Kultūras centra struktūrvienības kultūras nams “Lielvārde” jauniešu deju kolektīvs “Pūpolītis”   ,Iluta Mistre,"62,2",Augstākā pakāpe,"47,2",15
Rīgas pilsēta,Rīgas pilsēta,A,Rīgas Celtniecības koledžas jauniešu deju kolektīvs „Austris”,Elita Treilone,"62,0",Augstākā pakāpe,"47,0",15
Liepājas pilsēta,Liepājas apriņķis,A,Liepājas Universitātes jauniešu deju kolektīvs “Banga” ,Kristīne Kārkliņa,"61,8",Augstākā pakāpe,"46,8",15
Rīgas pilsēta,Rīgas pilsēta,A,Biedrības „Tautas deju un mūzikas klubs „Liesma”” Tautas deju ansamblis „Liesma”,Jānis Marcinkevičs,"61,8",Augstākā pakāpe,"46,8",15
Siguldas novads,Siguldas apriņķis,A,"Siguldas novada Siguldas pagasta Jauniešu deju kolektīvs ""Vizbulīte""",Indra Ozoliņa,"61,8",Augstākā pakāpe,"46,8",15
Valmieras pilsēta,Valmieras apriņķis,A,"Valmieras Kultūras centra Tautas deju ansamblis ""Gauja""",Evita Kaķīte - Brasa,"61,2",Augstākā pakāpe,"46,2",15
Bauskas novads,Bauskas apriņķis,A,"Bauskas Kultūras centra Tautas deju ansamblis ""Jandāls""",Tamāra Ļisovcova,"59,5",I pakāpe,"44,5",15
Rīgas pilsēta,Rīgas pilsēta,A,Rīgas Pedagoģijas un izglītības vadības akadēmijas deju ansamblis „Pērle”,Raimonds Dzintars,"59,5",I pakāpe,"44,5",15
Ķekavas novads,Pierīgas apriņķis,A,"Ķekavas novada pašvaldības Ķekavas Kultūras nama Tautas deju ansamblim ""Zīle""",Vita Timermane,"59,0",I pakāpe,"44,0",15
Jelgavas pilsēta,Jelgavas pilsēta,A,"Jelgavas pilsētas pašvaldības iestādes ""Kultūra"" Tautas deju ansamblis ""Jaunība""",Arvils Noviks,"58,8",I pakāpe,"43,8",15
Ogres novads,Ogres apriņķis,A,Ogres novada Kultūras centra Tautas deju ansamblis “Ogre”  ,Edgars Tabors,"58,8",I pakāpe,"43,8",15
Garkalnes novads,Siguldas apriņķis,A,"Garkalnes novada domes kultūras centra ""Berģi"" deju ansamblis ""Ritenītis""",Ilze Mažāne un Ingus Ladiga,"58,7",I pakāpe,"43,7",15
Limbažu novads,Limbažu apriņķis,A,"Limbažu Bērnu un jauniešu centra Tautas deju ansamblis ""Katvari""", Edžus Arums,"58,7",I pakāpe,"43,7",15
Salaspils novads,Pierīgas apriņķis,A,"Salaspils novada kultūras nama ""Rīgava"" Jauniešu deju kolektīvs ""Ūsiņš""",Mārtiņš Pēdājs,"58,5",I pakāpe,"43,5",15
Daugavpils pilsēta,Daugavpils apriņķis,A,Daugavpils pilsētas Latviešu kultūras centra deju ansamblis “Laismeņa”   ,Diāna Soldāne,"58,2",I pakāpe,"43,2",15
Rīgas pilsēta,Rīgas pilsēta,A,Bērnu un jauniešu centra “Rīgas skolēnu pils” Tautas deju ansamblis “UGUNTIŅA”,Gita Ūdre,"58,2",I pakāpe,"43,2",15
Rīgas pilsēta,Rīgas pilsēta,A,VEF Kultūras pils jauniešu deju kolektīvs „Zalktis”,Zane Behmane,"58,0",I pakāpe,"43,0",15
Daugavpils novads,Daugavpils apriņķis,A,Daugavpils novada kultūras centra “Vārpa” Tautas deju ansamblis “Līksme”,Aija Daugele,"57,8",I pakāpe,"42,8",15
Liepājas pilsēta,Liepājas apriņķis,A,Liepājas Tautas mākslas un kultūras centra Tautas deju ansamblis “Rucavietis”,Justs Celms,"56,7",I pakāpe,"41,7",15
Rīgas pilsēta,Rīgas pilsēta,A,VEF Kultūras pils jauniešu deju kopa „Bramaņi”,Taiga Ludborža,"56,7",I pakāpe,"41,7",15
